loan_id,snapshot_date,credit_rating
L001,2024-01-01,BBB
L001,2024-07-01,BBB
L001,2025-01-01,BBB
L001,2025-07-01,BBB
L002,2024-01-01,BB+
L002,2024-07-01,BB+
L002,2025-01-01,BB
L002,2025-07-01,BB
L003,2024-01-01,BB
L003,2024-07-01,BB-
L003,2025-01-01,B+
L003,2025-07-01,B
L004,2024-01-01,BBB+
L004,2024-07-01,BBB+
L004,2025-01-01,BBB+
L004,2025-07-01,BBB+
L005,2024-01-01,BB
L005,2024-07-01,BB-
L005,2025-01-01,B+
L005,2025-07-01,B
L006,2024-01-01,BB+
L006,2024-07-01,BB+
L006,2025-01-01,BB+
L006,2025-07-01,BB+
L007,2024-01-01,BBB-
L007,2024-07-01,BBB
L007,2025-01-01,BBB
L007,2025-07-01,BBB
L008,2024-01-01,BB+
L008,2024-07-01,BB
L008,2025-01-01,BB
L008,2025-07-01,BB
L009,2024-01-01,A-
L009,2024-07-01,A
L009,2025-01-01,A
L009,2025-07-01,A
L010,2024-01-01,BB-
L010,2024-07-01,B+
L010,2025-01-01,B
L010,2025-07-01,B
L011,2024-01-01,BB+
L011,2024-07-01,BB+
L011,2025-01-01,BB+
L011,2025-07-01,BB+
L012,2024-01-01,B
L012,2024-07-01,B-
L012,2025-01-01,CCC+
L012,2025-07-01,CCC
L013,2024-01-01,A-
L013,2024-07-01,A-
L013,2025-01-01,A-
L013,2025-07-01,A-
L014,2024-01-01,BB+
L014,2024-07-01,BB+
L014,2025-01-01,BB+
L014,2025-07-01,BB+
L015,2024-01-01,BBB
L015,2024-07-01,BBB+
L015,2025-01-01,BBB+
L015,2025-07-01,BBB+
L016,2024-01-01,BB
L016,2024-07-01,BB
L016,2025-01-01,BB
L016,2025-07-01,BB
L017,2024-01-01,BB
L017,2024-07-01,BB
L017,2025-01-01,BB-
L017,2025-07-01,BB-
L018,2024-01-01,BBB
L018,2024-07-01,BBB
L018,2025-01-01,BBB
L018,2025-07-01,BBB
L019,2024-01-01,B+
L019,2024-07-01,B+
L019,2025-01-01,B+
L019,2025-07-01,B+
L020,2024-01-01,BBB-
L020,2024-07-01,BBB-
L020,2025-01-01,BBB-
L020,2025-07-01,BBB-
L021,2024-01-01,A-
L021,2024-07-01,A
L021,2025-01-01,A
L021,2025-07-01,A
L022,2024-01-01,BB+
L022,2024-07-01,BB+
L022,2025-01-01,BB+
L022,2025-07-01,BB+
L023,2024-01-01,BB-
L023,2024-07-01,B+
L023,2025-01-01,B
L023,2025-07-01,B
L024,2024-01-01,BBB
L024,2024-07-01,BBB
L024,2025-01-01,BBB
L024,2025-07-01,BBB
L025,2024-01-01,BB+
L025,2024-07-01,BB
L025,2025-01-01,BB
L025,2025-07-01,BB
L026,2024-01-01,BBB+
L026,2024-07-01,BBB+
L026,2025-01-01,BBB+
L026,2025-07-01,BBB+
L027,2024-01-01,BBB-
L027,2024-07-01,BBB-
L027,2025-01-01,BBB-
L027,2025-07-01,BBB-
L028,2024-01-01,BB-
L028,2024-07-01,BB-
L028,2025-01-01,BB-
L028,2025-07-01,BB-
L029,2024-01-01,BB+
L029,2024-07-01,BB+
L029,2025-01-01,BB+
L029,2025-07-01,BB+
L030,2024-01-01,B+
L030,2024-07-01,B+
L030,2025-01-01,B+
L030,2025-07-01,B+
L031,2024-01-01,A-
L031,2024-07-01,A-
L031,2025-01-01,A-
L031,2025-07-01,A-
L032,2024-01-01,BB
L032,2024-07-01,BB
L032,2025-01-01,BB
L032,2025-07-01,BB
L033,2024-01-01,BB+
L033,2024-07-01,BB+
L033,2025-01-01,BB+
L033,2025-07-01,BB+
L034,2024-01-01,BB
L034,2024-07-01,BB-
L034,2025-01-01,B+
L034,2025-07-01,B+
L035,2024-01-01,BBB-
L035,2024-07-01,BBB-
L035,2025-01-01,BBB-
L035,2025-07-01,BBB-
L036,2024-01-01,BB
L036,2024-07-01,BB
L036,2025-01-01,BB-
L036,2025-07-01,BB-
L037,2024-01-01,B
L037,2024-07-01,B-
L037,2025-01-01,CCC+
L037,2025-07-01,CCC+
L038,2024-01-01,BBB
L038,2024-07-01,BBB
L038,2025-01-01,BBB
L038,2025-07-01,BBB
L039,2024-01-01,BBB+
L039,2024-07-01,BBB+
L039,2025-01-01,BBB+
L039,2025-07-01,BBB+
L040,2024-01-01,BB+
L040,2024-07-01,BB+
L040,2025-01-01,BB+
L040,2025-07-01,BB+
L041,2024-01-01,BB
L041,2024-07-01,BB
L041,2025-01-01,BB
L041,2025-07-01,BB
L042,2024-01-01,BB+
L042,2024-07-01,BB+
L042,2025-01-01,BB+
L042,2025-07-01,BB+
L043,2024-01-01,BBB
L043,2024-07-01,BBB
L043,2025-01-01,BBB
L043,2025-07-01,BBB
L044,2024-01-01,BBB-
L044,2024-07-01,BBB-
L044,2025-01-01,BBB-
L044,2025-07-01,BBB-
L045,2024-01-01,BB
L045,2024-07-01,BB
L045,2025-01-01,BB
L045,2025-07-01,BB
L046,2024-01-01,BB-
L046,2024-07-01,BB-
L046,2025-01-01,BB-
L046,2025-07-01,BB-
L047,2024-01-01,BB-
L047,2024-07-01,B+
L047,2025-01-01,B
L047,2025-07-01,B
L048,2024-01-01,BBB
L048,2024-07-01,BBB
L048,2025-01-01,BBB
L048,2025-07-01,BBB
L049,2024-01-01,BB+
L049,2024-07-01,BB+
L049,2025-01-01,BB+
L049,2025-07-01,BB+
L050,2024-01-01,BB
L050,2024-07-01,BB
L050,2025-01-01,BB
L050,2025-07-01,BB
